product_id,product_name,description,category,price,brand,search_text
B01CUPMQZE,"Howard LC0008 Leather Conditioner, 8-Ounce (4-Pack)",,,,Howard Products,"Howard LC0008 Leather Conditioner, 8-Ounce (4-Pack) Howard Products"
B076WQZGPM,"Yes to Tomatoes Detoxifying Charcoal Cleanser (Pack of 2) with Charcoal Powder, Tomato Fruit Extract, and Gingko Biloba Leaf Extract, 5 fl. oz.",,,,Yes To,"Yes to Tomatoes Detoxifying Charcoal Cleanser (Pack of 2) with Charcoal Powder, Tomato Fruit Extract, and Gingko Biloba Leaf Extract, 5 fl. oz. Yes To"
B000B658RI,Eye Patch Black Adult with Tie Band (6 Per Pack),,,,Levine Health Products,Eye Patch Black Adult with Tie Band (6 Per Pack) Levine Health Products
B088FKY3VD,"Tattoo Eyebrow Stickers, Waterproof Eyebrow, 4D Imitation Eyebrow Tattoos, 4D Hair-like Authentic Eyebrows Waterproof Long Lasting for Woman & Man Makeup Tool",,,,Cherioll,"Tattoo Eyebrow Stickers, Waterproof Eyebrow, 4D Imitation Eyebrow Tattoos, 4D Hair-like Authentic Eyebrows Waterproof Long Lasting for Woman & Man Makeup Tool Cherioll"
B07NGFDN6G,Precision Plunger Bars for Cartridge Grips – 93mm – Bag of 10 Plungers,"The Precision Plunger Bars are designed to work seamlessly with the Precision Disposable 1. 25"" Contoured Soft Cartridge Grips and the Precision Disposable 1"" Textured Soft Cartridge Grips to drive cartridge needles with vice style or standard tattoo machine setups. These plunger bars are manufactured from 304 Stainless Steel and feature a brass tip. The plungers are sold in a bag of ten in your choice of 88mm, 93mm, or 98mm length.",,,Precision,"Precision Plunger Bars for Cartridge Grips – 93mm – Bag of 10 Plungers Precision The Precision Plunger Bars are designed to work seamlessly with the Precision Disposable 1. 25"" Contoured Soft Cartridge Grips and the Precision Disposable 1"" Textured Soft Cartridge Grips to drive cartridge needles with vice style or standard tattoo machine setups. These plunger bars are manufactured from 304 Stainless Steel and feature a brass tip. The plungers are sold in a bag of ten in your choice of 88mm, 93mm, or 98mm length."
B07G9GWFSM,Lurrose 100Pcs Full Cover Fake Toenails Artificial Transparent Nail Tips Nail Art for DIY,"Description The false toenails are durable with perfect length. You have the option to wear them long or clip them short, easy to trim and file them to in any length and shape you like. Plus, ABS is kind of green enviromental material, and makes the nails durable, breathable, light even no pressure on your own toenails. Fit well to your natural toenails. Non toxic, no smell, no harm to your health. Feature - Color: As Shown.- Material: ABS.- Size: 14.3 x 7.2 x 1cm. Package Including 100 x Pieces fake toenails",,6.99,Lurrose,"Lurrose 100Pcs Full Cover Fake Toenails Artificial Transparent Nail Tips Nail Art for DIY Lurrose Description The false toenails are durable with perfect length. You have the option to wear them long or clip them short, easy to trim and file them to in any length and shape you like. Plus, ABS is kind of green enviromental material, and makes the nails durable, breathable, light even no pressure on your own toenails. Fit well to your natural toenails. Non toxic, no smell, no harm to your health. Feature - Color: As Shown.- Material: ABS.- Size: 14.3 x 7.2 x 1cm. Package Including 100 x Pieces fake toenails"
B08XZ97HFY,Stain Bonnet For Baby Bonnet Silk Sleep Cap For Toddler Child Shower Cap Teens Kids,,,,Edoneery,Stain Bonnet For Baby Bonnet Silk Sleep Cap For Toddler Child Shower Cap Teens Kids Edoneery
B08DNQTTQK,50 Pieces False Eyelash Packaging Box Empty Eyelash Box Plastic Eyelash Storage Case with Glitter Paper and Clear Tray for Women Girls Eyelash (Holographic),,,,Maitys,50 Pieces False Eyelash Packaging Box Empty Eyelash Box Plastic Eyelash Storage Case with Glitter Paper and Clear Tray for Women Girls Eyelash (Holographic) Maitys
B01ERJEGS6,Gold extatic Musk EDT 90ml,Edt spray 3 oz design house: balmain,,86.95,Balmain,Gold extatic Musk EDT 90ml Balmain Edt spray 3 oz design house: balmain
B08P7LXKP7,"4 Pieces Satin Bonnet Adjustable Sleep Cap Double Layer Printed Hair Bonnet Large Reversible Sleeping Silk Night Hair Cap for Women Natural Curly Hair (Floral, Flamingo, Flower)",,,,Geyoga,"4 Pieces Satin Bonnet Adjustable Sleep Cap Double Layer Printed Hair Bonnet Large Reversible Sleeping Silk Night Hair Cap for Women Natural Curly Hair (Floral, Flamingo, Flower) Geyoga"
